host,port,state,service,risk,policy_violation,vulnerability_class,vulnerability_description,attack_vector,mitigation,references,product,version,intrusion_indicator,notes
127.0.0.1,1,filtered,,high,True,policy violation — non-443 exposure,"TCP/1 (well-known system port) is reachable. Enterprise policy permits HTTPS/443 only; any other open or filtered port is a potential lateral-movement entry point and must be closed, justified, or moved behind a bastion.","Adversaries fingerprint the listening service and pivot via known CVEs, default credentials, or protocol-level weaknesses.","Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation).","['CWE-1188', 'CIS Controls 4.5', 'NIST 800-53 SC-7']",,,False,socket-probe
127.0.0.1,2,filtered,,high,True,policy violation — non-443 exposure,"TCP/2 (well-known system port) is reachable. Enterprise policy permits HTTPS/443 only; any other open or filtered port is a potential lateral-movement entry point and must be closed, justified, or moved behind a bastion.","Adversaries fingerprint the listening service and pivot via known CVEs, default credentials, or protocol-level weaknesses.","Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation).","['CWE-1188', 'CIS Controls 4.5', 'NIST 800-53 SC-7']",,,False,socket-probe
127.0.0.1,3,filtered,,high,True,policy violation — non-443 exposure,"TCP/3 (well-known system port) is reachable. Enterprise policy permits HTTPS/443 only; any other open or filtered port is a potential lateral-movement entry point and must be closed, justified, or moved behind a bastion.","Adversaries fingerprint the listening service and pivot via known CVEs, default credentials, or protocol-level weaknesses.","Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation).","['CWE-1188', 'CIS Controls 4.5', 'NIST 800-53 SC-7']",,,False,socket-probe
127.0.0.1,4,filtered,,high,True,policy violation — non-443 exposure,"TCP/4 (well-known system port) is reachable. Enterprise policy permits HTTPS/443 only; any other open or filtered port is a potential lateral-movement entry point and must be closed, justified, or moved behind a bastion.","Adversaries fingerprint the listening service and pivot via known CVEs, default credentials, or protocol-level weaknesses.","Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation).","['CWE-1188', 'CIS Controls 4.5', 'NIST 800-53 SC-7']",,,False,socket-probe
127.0.0.1,5,filtered,,high,True,policy violation — non-443 exposure,"TCP/5 (well-known system port) is reachable. Enterprise policy permits HTTPS/443 only; any other open or filtered port is a potential lateral-movement entry point and must be closed, justified, or moved behind a bastion.","Adversaries fingerprint the listening service and pivot via known CVEs, default credentials, or protocol-level weaknesses.","Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation).","['CWE-1188', 'CIS Controls 4.5', 'NIST 800-53 SC-7']",,,False,socket-probe
127.0.0.1,6,filtered,,high,True,policy violation — non-443 exposure,"TCP/6 (well-known system port) is reachable. Enterprise policy permits HTTPS/443 only; any other open or filtered port is a potential lateral-movement entry point and must be closed, justified, or moved behind a bastion.","Adversaries fingerprint the listening service and pivot via known CVEs, default credentials, or protocol-level weaknesses.","Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation).","['CWE-1188', 'CIS Controls 4.5', 'NIST 800-53 SC-7']",,,False,socket-probe
127.0.0.1,7,filtered,echo,high,True,policy violation — non-443 exposure,"TCP/7 (well-known system port) is reachable. Enterprise policy permits HTTPS/443 only; any other open or filtered port is a potential lateral-movement entry point and must be closed, justified, or moved behind a bastion.","Adversaries fingerprint the listening service and pivot via known CVEs, default credentials, or protocol-level weaknesses.","Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation).","['CWE-1188', 'CIS Controls 4.5', 'NIST 800-53 SC-7']",,,False,socket-probe
127.0.0.1,8,filtered,,high,True,policy violation — non-443 exposure,"TCP/8 (well-known system port) is reachable. Enterprise policy permits HTTPS/443 only; any other open or filtered port is a potential lateral-movement entry point and must be closed, justified, or moved behind a bastion.","Adversaries fingerprint the listening service and pivot via known CVEs, default credentials, or protocol-level weaknesses.","Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation).","['CWE-1188', 'CIS Controls 4.5', 'NIST 800-53 SC-7']",,,False,socket-probe
127.0.0.1,9,filtered,discard,high,True,policy violation — non-443 exposure,"TCP/9 (well-known system port) is reachable. Enterprise policy permits HTTPS/443 only; any other open or filtered port is a potential lateral-movement entry point and must be closed, justified, or moved behind a bastion.","Adversaries fingerprint the listening service and pivot via known CVEs, default credentials, or protocol-level weaknesses.","Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation).","['CWE-1188', 'CIS Controls 4.5', 'NIST 800-53 SC-7']",,,False,socket-probe
127.0.0.1,10,filtered,,high,True,policy violation — non-443 exposure,"TCP/10 (well-known system port) is reachable. Enterprise policy permits HTTPS/443 only; any other open or filtered port is a potential lateral-movement entry point and must be closed, justified, or moved behind a bastion.","Adversaries fingerprint the listening service and pivot via known CVEs, default credentials, or protocol-level weaknesses.","Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation).","['CWE-1188', 'CIS Controls 4.5', 'NIST 800-53 SC-7']",,,False,socket-probe
