decided_at,action,target,severity,confidence,automated,rationale
2026-06-03T04:47:56.041022Z,replace_certificate,api.fintrust-bank.com,critical,0.99,True,Expired 24 day(s) ago — production traffic is at risk.
2026-06-03T04:47:56.041040Z,plan_pqc_migration,api.fintrust-bank.com,medium,0.85,False,RSA-2048 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-06-03T04:47:56.041055Z,replace_certificate,payments.fintrust-bank.com,critical,0.99,True,Expired 4 day(s) ago — production traffic is at risk.
2026-06-03T04:47:56.041071Z,schedule_renewal,portal.healthcorp.example,high,0.9,False,Expires in 22 day(s); within 45-day window.
2026-06-03T04:47:56.041081Z,plan_pqc_migration,portal.healthcorp.example,medium,0.85,False,RSA-2048 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-06-03T04:47:56.041091Z,schedule_renewal,secure-ftp.logistico.example,high,0.9,False,Expires in 32 day(s); within 45-day window.
2026-06-03T04:47:56.041150Z,plan_pqc_migration,secure-ftp.logistico.example,medium,0.85,False,EC-secp384r1-384 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-06-03T04:47:56.041250Z,plan_pqc_migration,legacy.intranet.example,medium,0.85,False,RSA-1024 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-06-03T04:47:56.041265Z,plan_pqc_migration,edge.fintrust-bank.com,medium,0.85,False,EC-secp256r1-256 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-06-03T04:47:56.041274Z,plan_pqc_migration,www.cloudflare.com,medium,0.85,False,EC-secp256r1-256 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-06-03T04:47:56.041287Z,plan_pqc_migration,www.google.com,medium,0.85,False,EC-secp256r1-256 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-06-03T04:47:56.041296Z,plan_pqc_migration,www.microsoft.com,medium,0.85,False,RSA-2048 is broken by Shor; queue hybrid ML-KEM/ML-DSA pilot.
2026-06-03T04:47:56.041403Z,harden_filtered_port,127.0.0.1:1,high,0.8,False,"Policy permits only TCP/443. UNKNOWN SERVICE on TCP/1 is filtered: policy violation — non-443 exposure. Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation)."
2026-06-03T04:47:56.041451Z,harden_filtered_port,127.0.0.1:2,high,0.8,False,"Policy permits only TCP/443. UNKNOWN SERVICE on TCP/2 is filtered: policy violation — non-443 exposure. Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation)."
2026-06-03T04:47:56.041497Z,harden_filtered_port,127.0.0.1:3,high,0.8,False,"Policy permits only TCP/443. UNKNOWN SERVICE on TCP/3 is filtered: policy violation — non-443 exposure. Close the port at the host firewall and the perimeter, or document the exception with compensating controls (mTLS, allow-list, MFA, segmentation)."
